key,,admin_name1,latitude,longitude,accuracy
IN,124029,Haryana,28.8667,76.45,
IN,124030,Haryana,28.8833,76.5083,
IN,124031,Haryana,28.8833,76.5083,
IN,124101,Haryana,28.62,76.67,
IN,124102,Haryana,28.6833,76.6167,4
IN,124103,Haryana,28.62,76.67,
IN,124104,Haryana,28.6167,76.65,4
IN,124105,Haryana,28.5833,76.8167,4
IN,124107,Haryana,28.75,76.6167,4
IN,124108,Haryana,28.4667,76.65,4
IN,124109,Haryana,28.62,76.67,
IN,124110,Haryana,28.8917,76.4167,
IN,124111,Haryana,28.95,76.4333,4
IN,124112,Haryana,28.8917,76.4167,
IN,124113,Haryana,28.8333,76.4,4
IN,124114,Haryana,28.8917,76.4167,
IN,124118,Haryana,28.8917,76.4167,
IN,124120,Haryana,28.7274,76.6286,
IN,124121,Haryana,28.7274,76.6286,
IN,124124,Haryana,28.7274,76.6286,
IN,124125,Haryana,28.7274,76.6286,
IN,124126,Haryana,28.7274,76.6286,
IN,124127,Haryana,28.7274,76.6286,
IN,124129,Haryana,28.7274,76.6286,
IN,124130,Haryana,28.7274,76.6286,
IN,124131,Haryana,28.7274,76.6286,
IN,124132,Haryana,28.7274,76.6286,
IN,124133,Haryana,28.7274,76.6286,
IN,124135,Haryana,28.7274,76.6286,
IN,124136,Haryana,28.7274,76.6286,
IN,124138,Haryana,28.7274,76.6286,
IN,124139,Haryana,28.7274,76.6286,
IN,124140,Haryana,28.9356,76.8458,4
IN,124202,Haryana,28.9185,76.7051,
IN,124203,Haryana,28.9185,76.7051,
IN,124204,Haryana,28.9185,76.7051,
IN,124205,Haryana,28.9185,76.7051,
IN,124301,Haryana,29.3834,76.8126,
IN,124303,Haryana,29.0167,76.6167,4
IN,124304,Haryana,29.3834,76.8126,
IN,124305,Haryana,29.9336,77.0544,4
IN,124306,Haryana,29.2,76.7667,4
IN,124307,Haryana,29.3834,76.8126,
IN,124308,Haryana,29.3834,76.8126,
IN,124309,Haryana,29.3834,76.8126,
IN,124311,Haryana,29.3834,76.8126,
IN,124314,Haryana,29.3834,76.8126,
IN,124315,Haryana,29.3834,76.8126,
IN,124316,Haryana,29.3834,76.8126,
IN,124317,Haryana,29.3834,76.8126,
IN,124318,Haryana,29.3834,76.8126,
IN,124320,Haryana,29.3834,76.8126,
IN,124321,Haryana,29.3834,76.8126,
IN,124322,Haryana,29.3834,76.8126,
IN,124324,Haryana,29.3834,76.8126,
IN,124402,Haryana,28.9397,76.8731,
IN,124403,Haryana,28.9344,76.975,4
IN,124404,Haryana,28.9397,76.8731,
IN,124406,Haryana,28.9397,76.8731,
IN,124407,Haryana,28.9,76.8333,4
IN,124408,Haryana,28.9847,76.8111,4
IN,124411,Haryana,28.8894,76.7123,
IN,124412,Haryana,28.75,76.4833,4
IN,124413,Haryana,28.9194,76.8981,4
IN,124416,Haryana,28.8894,76.7123,
IN,124417,Haryana,28.8894,76.7123,
IN,124418,Haryana,28.8894,76.7123,
IN,124421,Haryana,29.4092,76.8781,4
IN,124423,Haryana,29.4092,76.8781,
IN,124424,Haryana,29.4092,76.8781,
IN,124425,Haryana,29.4092,76.8781,
IN,124426,Haryana,29.4092,76.8781,
IN,124427,Haryana,29.4092,76.8781,
IN,124428,Haryana,29.4092,76.8781,
IN,124429,Haryana,29.4092,76.8781,
IN,124430,Haryana,28.9852,76.8049,
IN,124501,Haryana,28.7764,76.7667,4
IN,124502,Haryana,28.7299,76.8417,
IN,124504,Haryana,28.7299,76.8417,
IN,124505,Haryana,28.7299,76.8417,
IN,124506,Haryana,28.7299,76.8417,
IN,124507,Haryana,28.6833,76.9167,4
IN,124508,Haryana,28.7299,76.8417,
IN,124509,Haryana,28.7299,76.8417,
IN,124510,Haryana,29.0333,76.4167,
IN,124511,Haryana,29.0333,76.4167,
IN,124513,Haryana,29.0333,76.4167,
IN,124514,Haryana,29.0333,76.4167,
IN,124515,Haryana,29.0333,76.4167,
IN,124516,Haryana,29.0333,76.4167,
IN,124517,Haryana,29.0333,76.4167,
IN,124518,Haryana,29.0333,76.4167,
IN,124519,Haryana,29.0333,76.4167,4
IN,124520,Haryana,28.831,76.7,
IN,124521,Haryana,28.831,76.7,
IN,124522,Haryana,28.831,76.7,
IN,124523,Haryana,28.831,76.7,
IN,124524,Haryana,28.831,76.7,
IN,124525,Haryana,28.831,76.7,
IN,124527,Haryana,28.831,76.7,
IN,124528,Haryana,28.831,76.7,
IN,124529,Haryana,28.831,76.7,
IN,124530,Haryana,28.831,76.7,
IN,124531,Haryana,28.831,76.7,
IN,124532,Haryana,28.831,76.7,
IN,124533,Haryana,28.831,76.7,
IN,125001,Haryana,29.1118,75.7598,
IN,125002,Haryana,29.1118,75.7598,
IN,125003,Haryana,29.1118,75.7598,
IN,125004,Haryana,29.1118,75.7598,
