,name,id,address,zipcode,locality,latitude,longitude,cuisines,average_cost_for_two,highlights,aggregate_rating,number_of_reviews
265,New Sher-E- Punjab Hotel,18676231,"131, B.T.Road, Beside Dunlop Bridge Mini Bus Stand, Baranagar",,Baranagar,22.6514913340,88.3775139973,"North Indian, Chinese, Mughlai",800,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating,Table Reservation Not Required,Air Conditioned",3.6,289
266,La Patisserie and Deli - Taj Bengal,21474,"Taj Bengal, 34B, Belvedere Road, Alipore, Kolkata",0,"Taj Bengal, Alipore",22.5349508522,88.3331603184,"Bakery, Desserts",500,"Cash,Credit Card,Breakfast,No Alcohol Available,Indoor Seating,Wifi,Desserts and Bakes,Air Conditioned",4.2,92
267,FryDe Cafe,19119892,"4/29, New Rathtala, Belghoria, Kolkata",700056,Belghoria,22.6641365193,88.3772437647,"Cafe, Continental, Mexican, Pizza, Sandwich, Italian, Beverages, Chinese",650,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Digital Payments Accepted",4.2,121
268,Wokaholic,18368673,"1, Indra Roy Road, Hazra, Kolkata",,Hazra,22.5269606596,88.3464590460,"Chinese, Asian, Momos, Healthy Food",500,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Indoor Seating,Air Conditioned,Self Service,Free Wifi,Wifi",4.0,569
269,Mio Amore Restaurant,21354,"4th Floor, 164/1, Mani Square Mall, EM Bypass, Kankurgachi, Kolkata",0,"Mani Square Mall, Kankurgachi",22.5777705996,88.4006876126,"Mediterranean, Italian, Lebanese",1200,"Lunch,Cash,Takeaway Available,Dinner,Mall Parking,Credit Card,Fullbar,Air Conditioned,Buffet,Indoor Seating,Wheelchair Accessible",3.7,778
270,Enamiah Restaurant & Caterer,18265446,"764, Purba Jadavpur, Near Metro Cash & Carry, Kalikapur, Kolkata",,Kalikapur,22.4984072984,88.3999533579,"Biryani, North Indian, Mughlai",700,"Delivery,Credit Card,Dinner,Takeaway Available,Debit Card,Lunch,Cash,Indoor Seating,Air Conditioned,Table booking recommended",4.0,275
271,Zam Zam,18166905,"18, Dent Mission Road, Kidderpore, Kolkata",,Kidderpore,22.5375827671,88.3231281862,"North Indian, Mughlai, Bengali, Biryani",700,"Lunch,Takeaway Available,Debit Card,No Alcohol Available,Dinner,Cash,Credit Card,Indoor Seating,Table booking not available",3.7,69
272,Chili's Grill & Bar,23729,"4th Floor, Quest Mall, 33, Syed Ali Amir Avenue, Ballygunge, Kolkata",,"Quest Mall, Ballygunge",22.5387229692,88.3656438813,"American, Mexican, Italian, Burger",1200,"Lunch,Cash,Delivery,Credit Card,Dinner,Mall Parking,Takeaway Available,Debit Card,Fullbar,Air Conditioned,Kid Friendly,Indoor Seating,Table Reservation Not Required,Wheelchair Accessible",4.7,5273
273,Raj Spanish Cafe,22095,"7, Ground Floor, Sudder Street, New Market Area, Kolkata",0,New Market Area,22.5583093170,88.3541512862,"Cafe, Spanish, Italian, Mexican, Salad, Beverages, Fast Food",600,"Dinner,Debit Card,Delivery,Lunch,Takeaway Available,Breakfast,Credit Card,Cash,Indoor Seating,Outdoor Seating,Wifi",4.1,844
274,Marbella's,19236255,"29 A, Hindustan Park, Kolkata",,Hindustan Park,22.5179240000,88.3643130000,"Cafe, Continental, Healthy Food",800,"Dinner,Takeaway Available,Debit Card,Lunch,Cash,Credit Card,Indoor Seating,Air Conditioned,Free Wifi",4.3,264
275,Some Like It Hot,19036445,"32/9, Gariahat Road South, Selimpur, Dhakuria, Kolkata",700031,Dhakuria,22.5063241847,88.3679056540,"Cafe, Fast Food",600,"Cash,Takeaway Available,Debit Card,Dinner,Delivery,Credit Card,Lunch,Indoor Seating,Digital Payments Accepted,Desserts and Bakes,Table booking recommended,Air Conditioned",4.5,554
276,Deli Cravings,18017605,"225/2, A.J.C. Bose Road, Minto Park, Kolkata",,Minto Park,22.5413288006,88.3567989618,"Continental, Burger, Italian, Salad",800,"Lunch,Cash,Delivery,Credit Card,Dinner,Takeaway Available,Valet Parking Available,Table booking recommended,Indoor Seating,Air Conditioned,Wifi",4.0,586
277,The Bhoj Company,18440243,"60, Hemanta Basu Sarani, Dalhousie BBD Bagh, Kolkata",700001,Dalhousie BBD Bagh,22.5717441774,88.3506271988,"Bengali, Chinese",500,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Indoor Seating,Air Conditioned,Table booking recommended",4.4,663
278,Mitra Cafe,18214001,"14L/1A, Dum Dum Road, Dum Dum, Kolkata",,Dum Dum,22.6195823594,88.3919647336,"North Indian, Chinese, Mughlai, Seafood",700,"Delivery,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Indoor Seating,Air Conditioned",3.9,407
279,Hondo's,18361680,"58/100, Prince Anwar Shah Road, Kolkata",700045,Prince Anwar Shah Road,22.5020763370,88.3541234583,"American, Burger, Continental",700,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Digital Payments Accepted,Wifi,Table booking recommended,Air Conditioned,Smoking Area",4.2,1165
280,Chaccha Jaan Biryani Aur Kebab Waale,19117045,"5, Chowbhagha Road, CN Roy Road, Picnic Garden, Kolkata",,Picnic Garden,22.5309079673,88.3894863725,"Biryani, North Indian, Mughlai",600,"Lunch,Delivery,Dinner,Cash,Digital Payments Accepted",4.5,209
281,Dunlop Hotel & Restaurant,20640,"144/1, B.T. Road, Baranagar, Kolkata",0,Baranagar,22.6524956896,88.3773148432,"North Indian, Mughlai, Chinese",600,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Indoor Seating",3.4,551
282,Aamar Kolkata Sobar Cafe,18685103,"28J, Northern Avenue, Seven Tanks, Dum Dum, Kolkata",,Dum Dum,22.6197531958,88.3881516382,"Bengali, Chinese, Fast Food, Beverages",450,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Indoor Seating,Air Conditioned,Digital Payments Accepted",4.0,121
283,ITC Royal Bengal- Grand Market Pavilion,19111824,"ITC Sonar, JBS Haldane Avenue, EM Bypass, Science City Area, Kolkata",,"ITC Royal Bengal, Science City Area",22.5460092642,88.3990199491,"North Indian, Chinese, Continental, Bengali",3500,"Lunch,Delivery,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Valet Parking Available,4/5 Star,Digital Payments Accepted,Air Conditioned,Brunch,Indoor Seating,Table booking recommended,Variable Menu",4.4,410
284,Zaareen,18653854,"Krishnapur Main Road, Tarulia, Kestopur, Kolkata",700102,Kestopur,22.5839066543,88.4410079196,"Kebab, Biryani, Chinese, North Indian",500,"Lunch,Delivery,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Digital Payments Accepted",4.2,899
285,Rang De Basanti Dhaba,23767,"DN 37, Sector 5, Salt Lake, Kolkata",,"Sector 5, Salt Lake",22.5753979556,88.4325069934,North Indian,800,"Lunch,Delivery,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Outdoor Seating,Air Conditioned,Indoor Seating",4.0,1750
286,Golbari,21612,"211, A.P.C. Road, Acharya Prafulla, Chandra Road, Fariapukur, Shyam Bazar, Kolkata",0,Shyam Bazar,22.6015830066,88.3737555519,Bengali,350,"Dinner,Takeaway Available,Lunch,Cash,Indoor Seating",3.8,1400
287,Peter Cat,20404,"18A, Park Street, Park Street Area, Kolkata",,Park Street Area,22.5524600857,88.3526187390,"North Indian, Continental",1000,"Lunch,Cash,Takeaway Available,Debit Card,Dinner,Delivery,Credit Card,Fullbar,Table booking recommended,Indoor Seating,Air Conditioned",4.2,6699
288,Dada Boudi Restaurant,19127565,"8, BT Road, Thakur Corner, Sodepur, Kolkata",,Sodepur,22.7023589164,88.3748411760,"North Indian, Chinese, Mughlai",700,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating",4.1,279
289,Rasui,23631,"1st Floor, Plot 107/2, Flying Point, Feeder Road, Belghoria, Kolkata",,Belghoria,22.6607165246,88.3870790899,"North Indian, Chinese, Seafood, Mughlai",650,"Dinner,Cash,Credit Card,Lunch,Delivery,Debit Card,Indoor Seating,Air Conditioned",3.6,329
290,India Restaurant,20747,"34, Karl Marx Sarani, Kidderpore, Kolkata",700023,Kidderpore,22.5389586264,88.3222400397,"Mughlai, North Indian, Chinese, Bengali",800,"Debit Card,Cash,Lunch,No Alcohol Available,Takeaway Available,Credit Card,Dinner,Delivery,Table booking recommended,Air Conditioned,Indoor Seating",4.5,2338
291,Oudh 1590,18979667,"335, Jessore Road, Kalindi, Kolkata",,Kalindi,22.6091987024,88.3996995538,"Biryani, Mughlai, Awadhi, Kebab",1200,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",4.3,250
292,Snaptown,19133966,"Plot 7, CD Block, Sector 1, Salt Lake, Kolkata",,"Sector 1, Salt Lake",22.5907392371,88.4096411616,"North Indian, Chinese, Fast Food, Beverages",700,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating,Air Conditioned,Digital Payments Accepted",4.3,148
293,Hogg's Room,18673556,"Hotel Lindsay, 8A & 8B, Lindsay Street, New Market Area, Kolkata",700087,"Hotel Lindsay, New Market",22.5593137336,88.3529868722,"Cafe, Fast Food",800,"Dinner,Cash,Delivery,Credit Card,Lunch,Takeaway Available,Debit Card,Indoor Seating,Air Conditioned,Wifi",4.3,430
294,Tasty Bites,18017649,"Hotel Sea Castle, 318, Ground Floor, Parnashree Pally, Behala, Kolkata",700060,Behala,22.5068885309,88.3027011529,"North Indian, Chinese, Biryani, Fast Food",400,"Dinner,Cash,Takeaway Available,Lunch,Delivery,Indoor Seating,Air Conditioned",4.2,57
295,JW Kitchen - JW Marriott Hotel,18398880,"JW Marriott Hotel, 4A, J.B.S Haldane Avenue, Science City Area, Kolkata",,"JW Marriott Hotel Kolkata, Science City Area",22.5471642599,88.3993364498,"North Indian, European, Mediterranean, Thai, Salad, Juices",3000,"Dinner,Serves Alcohol,Breakfast,Lunch,Cash,Credit Card,Debit Card,Valet Parking Available,Indoor Seating,Air Conditioned,Luxury Dining,Wheelchair Accessible,Buffet,Fullbar,4/5 Star,Table booking recommended,Smoking Area,Brunch",4.4,2638
296,The Herbs & Spices,22424,"Gennex Valley, Diamond Park, Opposite ESIC Hospital, Joka, Kolkata",700104,Joka,22.4501600000,88.3025100000,"North Indian, Chinese",550,"Dinner,Delivery,Credit Card,Debit Card,Lunch,Cash,Takeaway Available,Indoor Seating,Brunch",3.8,197
297,Abar Khaboo,18439471,"26/42, Dum Dum Road, Near Chiria More, Paikpara, Kolkata",,Paikpara,22.6188380429,88.3800446615,Chinese,250,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating",3.8,186
298,Momo I Am,18897756,"RBD Cinema, 1st Floor, Sector 5, Salt Lake, Kolkata",,"Sector 5, Salt Lake",22.5688680206,88.4335426614,"Tibetan, Chinese, Asian, Momos",800,"Lunch,Cash,Delivery,Credit Card,Dinner,Takeaway Available,Debit Card,Live Sports Screening,Live Music,Digital Payments Accepted,Fullbar,Indoor Seating,Air Conditioned,Smoking Area",4.6,895
299,Hoppipola,18249144,"1858, 4th Floor, Acropolis Mall, Rajdanga Main Road, ​Kasba, ​Kolkata",700108,"Acropolis Mall, Kasba",22.5148643981,88.3932297304,"Italian, North Indian, Bengali, Chinese",2000,"Cash,Takeaway Available,Debit Card,Lunch,Mall Parking,Delivery,Credit Card,Dinner,Table booking recommended,Air Conditioned,Wheelchair Accessible,Live Sports Screening,Fullbar,Digital Payments Accepted,Smoking Area,Nightlife,Indoor Seating",4.3,2290
300,Momo Hut,18070806,"7A, Manmatha Dutta Road, Near Tala Park, Dum Dum, Kolkata",,Dum Dum,22.6133677343,88.3776370436,"Chinese, Tibetan, Momos",300,"Cash,Takeaway Available,Dinner,Delivery,No Alcohol Available,Air Conditioned,Indoor Seating",3.7,94
301,Domino's Pizza,18551385,"18, James Long Sarani, Behala, Kolkata",,Behala,22.4899100571,88.3171394840,"Pizza, Fast Food",400,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",4.0,161
302,Chicken King N Pizza Day,18175457,"620, Behala Industrial Complex, Near Vivekananda Women College, Diamond Harbour Road, Behala, Kolkata",700034,Behala,22.4867877760,88.3133032545,"Fast Food, North Indian, Chinese",300,"Dinner,Delivery,Breakfast,Lunch,Cash,Takeaway Available,Indoor Seating,Air Conditioned",3.6,830
303,KFC,23227,"68, Ground Floor, Diamond Plaza Mall, Nagerbazar, Kolkata",,"Diamond Plaza Mall, Jessore Road",22.6155735251,88.4122891724,"Fast Food, Burger",450,"Credit Card,Lunch,Cash,Delivery,Takeaway Available,Debit Card,Dinner,Mall Parking,Sodexo,Air Conditioned,Indoor Seating,Wheelchair Accessible",4.2,679
304,The Grid,18343730,"86A, Haute Street, Corporate Park, Topsia Road (South), Topsia, Kolkata",700046,Topsia,22.5426776822,88.3857748657,"Continental, Italian, Pizza, North Indian",2000,"Lunch,Credit Card,Debit Card,Dinner,Cash,Takeaway Available,DJ,Valet Parking Available,Fullbar,Air Conditioned,Smoking Area,Wifi,Live Sports Screening,Craft Beer,Indoor Seating,Restricted Entry,Wheelchair Accessible,Brunch",4.6,1263
305,Kareem's,18471909,"Plot G/2, Block GP, PS Srijan Corporate Park, Retail Unit 2, Tower 1, Sector 5, Salt Lake, Kolkata",700091,"Sector 5, Salt Lake",22.5688401565,88.4339892492,"North Indian, Mughlai, Biryani",1500,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Indoor Seating,Air Conditioned,Table booking recommended",4.3,1649
306,Lebanese Junction - Steak House,24502,"110, Aurobindo Sarani, Near Star Theatre, Hatibagan, Kolkata",,Hatibagan,22.5945039469,88.3707568422,"Lebanese, Steak, Biryani, Fast Food",500,"Dinner,Cash,Takeaway Available,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",4.0,734
307,Lord Of The Drinks,19289502,"4th Floor, South City Mall, Prince Anwar Shah Road, Kolkata",,"South City Mall, Prince Anwar Shah Road",22.5017180000,88.3617390000,"Finger Food, Continental, North Indian, Chinese, European",1800,"Lunch,Cash,Takeaway Available,Debit Card,Dinner,Credit Card,Nightlife,Live Music,Fullbar,Indoor Seating,Air Conditioned,Smoking Area",4.3,307
308,Honey Da Dhaba,21269,"P54, Scheme VII M, Opposite ESI Hospital, VIP Road, Kankurgachi, Kolkata",0,Kankurgachi,22.5850102545,88.3917380869,"North Indian, Chinese, Mughlai",800,"Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Dinner,Cash,Sodexo,Ticket Restaurant,Air Conditioned,Wifi,Indoor Seating,Digital Payments Accepted",4.0,1284
309,Garden Cafe,20789,"8/1, Alipore Road, Alipore, Kolkata",0,Alipore,22.5320810509,88.3316988498,"South Indian, Pizza, Fast Food",350,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Breakfast,Indoor Seating,Pure Veg",3.9,249
310,Dakshinayan Restaurant,22216,"Near Diamond Park, Diamond Harbour Road, Joka, Kolkata",,Joka,22.4533849702,88.3030320704,"Fast Food, Chinese, North Indian, Bengali",450,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating",2.5,43
311,Arsalan,18166925,"AS/404, Twenty Four Parganas, Bidhannagar North, Atghara, Chinar Park, Kolkata",,Chinar Park,22.6228031456,88.4425267205,"Mughlai, North Indian, Rolls, Biryani",1000,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Valet Parking Available,Indoor Seating,Sodexo,Air Conditioned",3.9,1849
312,Hanglaatherium,24794,"188/3/1A, Lake Gardens, Prince Anwar Shah Road, Kolkata",700045,Prince Anwar Shah Road,22.5025654316,88.3595475554,"Biryani, North Indian, Mughlai",600,"No Alcohol Available,Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Free Parking,Air Conditioned,Indoor Seating,Table booking recommended",4.1,1791
313,Domino's Pizza,20168,"16L, Judges Court Road, Near Judge Court, Alipore, Kolkata",0,Alipore,22.5250978356,88.3307781816,"Pizza, Fast Food",400,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",3.9,394
314,6 Ballygunge Place,20002,"6, Ballygunge Place, Ballygunge, Kolkata",0,Ballygunge,22.5279011981,88.3685839176,"Bengali, Bangladeshi, Seafood",700,"Dinner,Takeaway Available,Lunch,Credit Card,No Alcohol Available,Cash,Debit Card,Delivery,Indoor Seating,Buffet,Air Conditioned",4.4,1962
315,New Punjabi Hotel,25475,"87, Diamond Harbour Road, Opposite Ajanta Cinema, Behala, Kolkata",700038,Behala,22.5080209332,88.3206779882,"North Indian, Mughlai, Bengali",500,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Indoor Seating,Air Conditioned,Digital Payments Accepted",3.7,464
316,@49,18017618,"116, Vivekananda Road, Near YMCA Hostel, Maniktala, Kolkata",700006,Maniktala,22.5855043178,88.3684615418,"Chinese, North Indian, Biryani",800,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Outdoor Seating,Rooftop,Air Conditioned,Indoor Seating,Table booking recommended",4.6,925
317,Seven Kingdom,18712598,"BH 40, Sector 2, Salt Lake, Kolkata",700091,"Sector 2, Salt Lake",22.5923622043,88.4245643020,"Chinese, Fast Food, Continental, Beverages",750,"Lunch,Delivery,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Free Parking,Live Sports Screening,Air Conditioned,Disabled Friendly,Private Dining Area Available,Live Entertainment,Indoor Seating,Kid Friendly,Wifi",4.5,1075
318,Delicious Taverna,18198698,"A 43/A, Amrabati, Barasat Road, Sodepur, Kolkata",,Sodepur,22.6983692019,88.3870831132,"North Indian, Chinese, Mughlai, Kebab",700,"Cash,Takeaway Available,Debit Card,Lunch,Dinner,Delivery,Credit Card,Table booking not available,Air Conditioned,Wifi,Live Sports Screening,Digital Payments Accepted,Kid Friendly,Smoking Area,Indoor Seating",4.3,326
319,The Lalchi,18793893,"Barasat, Kolkata",700126,Barasat,22.7244290000,88.4754640000,"Chinese, Biryani, Mughlai",450,"No Seating Available,Dinner,Cash,Lunch,Delivery,Dark Kitchen",3.6,202
320,Haji Biryani,18861958,"161, Banamali Naskar Road, Parnasree, Behala, Kolkata",,Behala,22.5084108913,88.3066456765,"Biryani, Rolls",300,"No Seating Available,Dinner,Delivery,Lunch,Cash,Takeaway Available",3.6,92
321,Kabuliwala,18598556,"Near City Centre 2, Chinar Park, Kolkata",,Chinar Park,22.6253712000,88.4381543000,"Biryani, Mughlai, Rolls",600,"No Seating Available,Dinner,Delivery,Lunch,Cash",4.3,814
322,Chowman,18676394,"DE 2B, VIP Road, Near Jora Mandir Bus Stop, Baguihati, Kolkata",,Baguihati,22.6154045405,88.4305144474,"Chinese, Asian, Seafood, Cantonese",1000,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",4.1,624
323,Aminia,24485,"AS/317/10/-11 Block - B, Opposite Karnatake Bank, Sukantapally Chinar Park, Kolkata",,Chinar Park,22.6230018310,88.4416845068,"Biryani, Mughlai, North Indian, Rolls, Kebab",600,"Lunch,Cash,Takeaway Available,Debit Card,Dinner,Delivery,Credit Card,Valet Parking Available,Table booking not available,Indoor Seating,Air Conditioned",4.2,1425
324,The Awadh Restaurant,18681582,"17, Park Circus Area, Kolkata",,Park Circus Area,22.5417837000,88.3624537000,"Biryani, Awadhi, North Indian, Chinese",900,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Indoor Seating,Air Conditioned,Table booking recommended",4.2,1127
325,Flame N Grill Restaurant,21220,"164/1, 4th Floor, Mani Square Mall, E.M. Bypass, Kankurgachi, Kolkata",0,"Mani Square Mall, Kankurgachi",22.5777984618,88.4004096687,"North Indian, Continental",2100,"Dinner,Cash,Delivery,Credit Card,Debit Card,Serves Alcohol,Lunch,Mall Parking,Takeaway Available,Fullbar,Romantic Dining,Air Conditioned,Indoor Seating,Table booking recommended,Wheelchair Accessible,Buffet",4.2,1129
326,Aminia,18166904,"54, Diamond Harbor Road, Behala, Kolkata",,Behala,22.5070734451,88.3200932667,"Biryani, Kebab, Rolls, North Indian, Mughlai",700,"Lunch,Delivery,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Valet Parking Available,Table booking not available,Indoor Seating",4.1,567
327,Hanglaatherium,25634,"NSC Bose Road, Near Kamalgazi Crossing, Garia, Kolkata",,Garia,22.4456956050,88.3929423988,"Biryani, North Indian, Mughlai",600,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",3.9,560
328,Momo I Am,18531241,"CD 18, Near Kalyan Jewelers, City Centre 1, Sector 1, Salt Lake",,"Sector 1, Salt Lake",22.5904358766,88.4082252905,"Tibetan, Chinese, Asian",600,"Lunch,Delivery,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Outdoor Seating,Air Conditioned,Indoor Seating",4.4,1287
329,The Beanshot Cafe,18748379,"C 16, Baisnhabghata Patuli Township, Ashutoshpally, Garia, Kolkata",700094,Garia,22.4718931639,88.3825236931,"Cafe, Continental, Italian",600,"Lunch,Debit Card,Cash,Delivery,Credit Card,Dinner,Takeaway Available,Outdoor Seating,Air Conditioned,Indoor Seating,All Day Breakfast,Free Wifi,Smoking Area,Digital Payments Accepted,Desserts and Bakes",4.4,334
330,Domino's Pizza,18471953,"1st Floor, 177, Dunlop, B.T. Road, Baranagar, Kolkata",,Baranagar,22.6526024367,88.3768447861,"Pizza, Fast Food",400,"Lunch,Cash,Takeaway Available,Dinner,Delivery,Credit Card,Sodexo,Ticket Restaurant,Indoor Seating,Air Conditioned",4.1,443
331,Spice Edge,18678558,"16, Italgacha Road, Near Milan Sangha Club, Airport Gate 1, Dum Dum, Kolkata",,Dum Dum,22.6433389501,88.4249877557,"North Indian, Chinese, Fast Food",350,"Lunch,Cash,Takeaway Available,Debit Card,Dinner,Delivery,Credit Card,Outdoor Seating,Digital Payments Accepted,Indoor Seating,Air Conditioned",3.4,231
332,Koley's Kitchen,23644,"3/13, S.M. Ali Road, Barrackpore, Kolkata",,Barrackpore,22.7596496333,88.3705211431,Chinese,450,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Outdoor Seating",4.1,312
333,Panna's South Indian Bistro,18681438,"14, Brahmo Samaj Road, Near Vidyasagar Hospital, Behala, Kolkata",700034,Behala,22.4994229922,88.3167552575,South Indian,200,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Breakfast,Indoor Seating,Pure Veg",4.3,189
334,Denzong Kitchen,23295,"9A, Bikramgarh, Jadavpur, Kolkata",700032,Jadavpur,22.4971397616,88.3592853695,"Momos, Chinese, Tibetan",300,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating",4.0,1560
335,Masterchef,18794031,"1M, Sapgachi, 1st Lane, Picnic Garden, Kolkata",700039,Picnic Garden,22.5318264914,88.3898028731,Chinese,400,"No Seating Available,Dinner,Delivery,Lunch,Cash,Takeaway Available",4.3,361
336,Domino's Pizza,20965,"333, 1st Floor, Purba, Ajoy Nagar, Kolkata",0,Ajoy Nagar,22.4890367920,88.3945869282,"Pizza, Fast Food",400,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Indoor Seating,Air Conditioned",4.0,621
337,Hard Rock Cafe,18617771,"57, Park Mansion, Park Street, Near Reliance Digital, Park Street Area, Kolkata",,Park Street Area,22.5521845083,88.3532034606,"Mexican, American",2900,"Dinner,Cash,Debit Card,Lunch,Credit Card,DJ,Live Sports Screening,Fullbar,Indoor Seating,Wifi,Live Entertainment,Nightlife,Live Music,Air Conditioned,Smoking Area",4.3,1539
338,The Murgg Factory,18923290,"Shop 4, P 362, Parnasree Pally, Behala, Kolkata",700060,Behala,22.5078363300,88.3068538830,"Fast Food, Finger Food",300,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating,Digital Payments Accepted",3.7,25
339,Debonair,21552,"53/1, J.N. Tiwari Road, Rajbari, Dum Dum, Kolkata",0,Dum Dum,22.6359371181,88.4143608436,"North Indian, Chinese",550,"Cash,Debit Card,Delivery,Dinner,Credit Card,Takeaway Available,Lunch,Air Conditioned,Fullbar,Indoor Seating,Wifi",3.6,251
340,Rayyan Biryani,18561959,"6A, Muzaffar Ahmed Street, Taltala, Kolkata",,Taltala,22.5534332718,88.3564905077,"Biryani, Rolls, Mughlai, Beverages",300,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Digital Payments Accepted",3.5,585
341,Mamasan,18696949,"29/1A, Ballygunge Place, Ballygunge, Kolkata",,Ballygunge,22.5274530727,88.3686523139,"Chinese, Thai, Malaysian, Momos, Japanese",900,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Digital Payments Accepted,Table booking recommended,Air Conditioned",4.4,464
342,FoodPath,21892,"2C, Kali Charan Ghosh Road, Sinthi Mod, Sinthi, Kolkata",0,Sinthi,22.6308555544,88.3792406693,"Cafe, Fast Food, Italian, North Indian",500,"Dinner,Cash,Takeaway Available,Lunch,Delivery,Indoor Seating,Air Conditioned",4.0,582
343,Tandoor-e-Punjab,20785,"26/50, Chiriamore Crossing, Dum Dum Road, Dum Dum, Kolkata",0,Dum Dum,22.6186811324,88.3794840798,"Rolls, North Indian, Mughlai",400,"Dinner,Cash,Takeaway Available,Lunch,Delivery,Indoor Seating,Air Conditioned",3.7,115
344,The Pepper House,19157046,"286, Aghore Sarani, Barendrapara, Narendra Pur, Kolkata",,Narendra Pur,22.4329870000,88.4211478000,Chinese,200,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating",3.6,59
345,Ebela Obela,18519912,"1/29, Brahmapur Shiv Mandir Road, Tagore Garden, Bansdroni, Naktala, Kolkata",700096,Naktala,22.4634596706,88.3621925488,"Bengali, Bangladeshi, Biryani",400,"Lunch,Standing Tables,Delivery,Breakfast,Dinner,Cash,Takeaway Available",4.0,1846
346,Kankurgachi Dhaba,18461760,"P-5, CIT Road, Scheme 7M, Kankurgachi, Kolkata",700054,Kankurgachi,22.5842654414,88.3914209157,"North Indian, Chinese, Biryani, Fast Food",500,"Dinner,Credit Card,Cash,Debit Card,Delivery,Lunch,Takeaway Available,Catering Available,Buffet,Indoor Seating,Air Conditioned",3.9,1059
347,Annapurna Hotel and Restaurant,18573062,"15, K.K. Mirta Road, Near Champadali More, Barasat, Kolkata",,Barasat,22.7202164055,88.4814760834,"Chinese, North Indian, Biryani",600,"Dinner,Cash,Takeaway Available,Lunch,Delivery,Indoor Seating,Air Conditioned",3.6,47
348,Aminia,25208,"94, Bidhan Sarani, Faria Pukur Crossing, Shyam Bazar, Kolkata",,Shyam Bazar,22.5988059042,88.3725324646,"Biryani, Mughlai, North Indian, Rolls, Kebab",700,"Lunch,Delivery,Credit Card,No Alcohol Available,Dinner,Cash,Takeaway Available,Indoor Seating,Air Conditioned",4.0,782
