,name,id,address,zipcode,locality,latitude,longitude,cuisines,average_cost_for_two,highlights,aggregate_rating,number_of_reviews
202,Darao Pothik Bor,18398882,"83/3, Dum Dum Road, Opposite St. Mary Orphange & Day School, Dum Dum, Kolkata",,Dum Dum,22.6202917002,88.3956460655,"North Indian, Mughlai, Chinese, Seafood, Bengali",800,"Dinner,Cash,Takeaway Available,Breakfast,Lunch,Delivery,Credit Card,Debit Card,Free Parking,Indoor Seating,Air Conditioned,Group Meal,Live Sports Screening,Table reservation required,Kid Friendly",4.6,866
203,Shiraz Golden Restaurant,20923,"C/279, Survey Park, Ajoy Nagar, Kolkata",0,Ajoy Nagar,22.4895417313,88.3948239684,"Biryani, North Indian, Mughlai, Kebab, Rolls",600,"No Alcohol Available,Dinner,Cash,Delivery,Lunch,Takeaway Available,Indoor Seating,Air Conditioned",2.8,349
204,Shaam-e-Awadh,18648178,"126, 1st Floor, Prakriti Building, Kalikapur Road, Kalikapur, Kolkata",700078,Kalikapur,22.5021258970,88.3934999630,"Awadhi, Mughlai, North Indian",800,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Indoor Seating",3.9,333
205,Overdose,18361674,"23, Lake Terrace, Sarath Bose Road, Southern Avenue, Kolkata",29,Southern Avenue,22.5156433454,88.3520038426,"Chinese, Asian, Tibetan, Thai, Momos",500,"Lunch,Cash,Delivery,Credit Card,Dinner,Takeaway Available,Debit Card,Free Parking,Free Wifi,Air Conditioned,Wheelchair Accessible,Indoor Seating,Digital Payments Accepted,Kid Friendly,Smoking Area,Wifi",4.5,1520
206,Cassoulet Restaurant,18162654,"AF 228, 7, Opposite Foot Bridge, Kestopur, Kolkata",700102,Kestopur,22.5961220000,88.4285610000,"North Indian, Chinese, Biryani, Rolls, Mughlai, Kebab, Momos, Bengali",400,"Lunch,Cash,Takeaway Available,Dinner,Delivery,Breakfast",3.7,2550
207,Monkey Bar,18361667,"801 A - 901 A, Fort Knox Building 6, Abindranath Thakur Sarani, Ward 63, Camac Street Area, Kolkata",,Camac Street Area,22.5443095760,88.3523102850,"American, North Indian, South Indian, Pizza, Burger, Salad",1500,"Lunch,Takeaway Available,Debit Card,Dinner,Cash,Delivery,Credit Card,Indoor Seating,Restricted Entry,Catering Available,LGBTQIA Friendly,Smoking Area,Live Sports Screening,Fullbar,Outdoor Seating,Rooftop,Air Conditioned,Axis Bank - Dining Delights,Valet Parking Available,Gastro Pub,Live Music",4.3,1134
208,Oindrila Restaurant,18532709,"16/1, Bholanath Nandy Lane, Belepole, Kona Exp Way, Howrah",,Kona Exp Way,22.5766585826,88.3009734750,"North Indian, Chinese, Thai",600,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",3.1,244
209,Punjabi Food Junction,18386974,"31/1, Barasat Road, Ward 31, Panihati, Sodepur, Kolkata",,Sodepur,22.6958996591,88.3956068382,"Chinese, North Indian, Bengali, Mughlai",700,"Dinner,Lunch,Delivery,Cash,Takeaway Available,Indoor Seating,Air Conditioned",3.9,214
210,Cake Crush,18456154,"Belghoria, Kolkata",,Belghoria,22.6579916678,88.3814551681,Bakery,250,"No Seating Available,Delivery,Cash,Desserts and Bakes,Digital Payments Accepted,Pre-Ordering Required,Home Baker,Dark Kitchen",3.9,100
211,The Spirits,19314111,"11 & 12, EP Block, Globsyn Crystal, Sector 5, Salt Lake, Kolkata",,"Sector 5, Salt Lake",22.5719587258,88.4334997460,"North Indian, Chinese, Continental",2000,"Credit Card,Dinner,Debit Card,Lunch,Cash,Takeaway Available,DJ,Free Parking,Nightlife,Valet Parking Available,Indoor Seating,Table booking recommended,LGBTQIA Friendly,Smoking Area,Dance Floor,Live Sports Screening,Sports TV,Fullbar,Free Wifi,Air Conditioned",4.4,102
